1,Bimal Jalal,The India Story,500,Tata McGraw Hill,sysdate(),sysdate(),10,101
2,Ernest Hemingway,For whom the Bell Tolls,600,Tata McGraw Hill,sysdate(),sysdate(),10,102
3,G. B. Shaw,Apple Cart,579,Tata McGraw Hill,sysdate(),sysdate(),10,103
4,G. V. Desani,Arms and the Man,450,Tata McGraw Hill,sysdate(),sysdate(),10,104
5,Geofray Chosar,Kanterbary Tells,460,Tata McGraw Hill,sysdate(),sysdate(),10,105
6,George Eliot,Silas Marner,478,Tata McGraw Hill,sysdate(),sysdate(),10,106
7,George Orwell,Nineteen Eighty-four,478,Tata McGraw Hill,sysdate(),sysdate(),10,107
8,Goethe,Faust,500,Tata McGraw Hill,sysdate(),sysdate(),10,108
9,Gopinath Mohanty,Paraja,700,Tata McGraw Hill,sysdate(),sysdate(),10,109
10,Gunjan Jain,She Walk She Leads,456,Tata McGraw Hill,sysdate(),sysdate(),10,110
